Date,Rain
01-01-2011,3231
02-01-2011,3231
03-01-2011,3231
04-01-2011,3231
05-01-2011,3231
06-01-2011,3231
07-01-2011,3231
08-01-2011,3231
09-01-2011,3231
10-01-2011,3231
11-01-2011,3231
12-01-2011,3231
13-01-2011,3231
14-01-2011,3231
15-01-2011,3231
16-01-2011,3231
17-01-2011,3231
18-01-2011,3231
19-01-2011,3231
20-01-2011,3231
21-01-2011,3231
22-01-2011,3231
23-01-2011,3231
24-01-2011,3231
25-01-2011,3231
26-01-2011,3231
27-01-2011,3231
28-01-2011,3231
29-01-2011,3213
30-01-2011,3186
31-01-2011,3135
01-02-2011,3108
02-02-2011,3081
03-02-2011,3054
04-02-2011,3028
05-02-2011,3009
06-02-2011,2986
07-02-2011,2966
08-02-2011,2950
09-02-2011,2934
10-02-2011,2921
11-02-2011,2902
12-02-2011,2889
13-02-2011,2873
14-02-2011,2858
15-02-2011,2845
16-02-2011,2829
17-02-2011,2814
18-02-2011,2801
19-02-2011,2786
20-02-2011,2773
21-02-2011,2758
22-02-2011,2770
23-02-2011,2779
24-02-2011,2786
25-02-2011,2776
26-02-2011,2764
27-02-2011,2752
28-02-2011,2739
01-03-2011,2733
02-03-2011,2724
03-03-2011,2718
04-03-2011,2712
05-03-2011,2706
06-03-2011,2700
07-03-2011,2693
08-03-2011,2687
09-03-2011,2681
10-03-2011,2675
11-03-2011,2669
12-03-2011,2660
13-03-2011,2651
14-03-2011,2642
15-03-2011,2633
16-03-2011,2624
17-03-2011,2618
18-03-2011,2612
19-03-2011,2606
20-03-2011,2600
21-03-2011,2595
22-03-2011,2589
23-03-2011,2583
24-03-2011,2577
25-03-2011,2571
26-03-2011,2565
27-03-2011,2559
28-03-2011,2553
29-03-2011,2547
30-03-2011,2542
31-03-2011,2536
01-04-2011,2530
02-04-2011,2524
03-04-2011,2518
04-04-2011,2513
05-04-2011,2507
06-04-2011,2501
07-04-2011,2495
08-04-2011,2489
09-04-2011,2484
10-04-2011,2478
11-04-2011,2472
12-04-2011,2467
13-04-2011,2461
14-04-2011,2455
15-04-2011,2449
16-04-2011,2444
17-04-2011,2438
18-04-2011,2432
19-04-2011,2424
20-04-2011,2418
21-04-2011,2410
22-04-2011,2404
23-04-2011,2412
24-04-2011,2415
25-04-2011,2415
26-04-2011,2410
27-04-2011,2404
28-04-2011,2398
29-04-2011,2393
30-04-2011,2387
01-05-2011,2381
02-05-2011,2373
03-05-2011,2354
04-05-2011,2331
05-05-2011,2309
06-05-2011,2285
07-05-2011,2260
08-05-2011,2236
09-05-2011,2211
10-05-2011,2187
